Window Start,Window End,GC Content,Average Coverage
0,100,0.35,2.1275
50,150,0.36,3.57
100,200,0.47,4.645
150,250,0.47,5.405
200,300,0.42,5.9750000000000005
250,350,0.39,6.1899999999999995
300,400,0.38,5.532500000000001
350,450,0.43,4.795
400,500,0.43,4.6325
450,550,0.46,4.5425
500,600,0.53,4.0375
550,650,0.47,3.395
600,700,0.45,4.0024999999999995
650,750,0.48,5.0025
700,800,0.49,5.78
750,850,0.48,6.555
800,900,0.5,7.102500000000001
850,950,0.54,7.4425
900,1000,0.47,7.385
950,1050,0.46,6.85
1000,1100,0.46,6.272499999999999
1050,1150,0.53,6.645
1100,1200,0.56,7.109999999999999
1150,1250,0.42,7.3125
1200,1300,0.41,7.49
1250,1350,0.45,8.045
1300,1400,0.36,8.61
1350,1450,0.39,8.2375
1400,1500,0.47,8.09
1450,1550,0.47,8.280000000000001
1500,1600,0.46,7.897499999999999
1550,1650,0.42,7.1525
1600,1700,0.4,7.0525
1650,1750,0.42,7.5175
1700,1800,0.47,7.717499999999999
1750,1850,0.47,7.2425
1800,1900,0.45,6.8149999999999995
1850,1950,0.44,6.945
1900,2000,0.46,7.102500000000001
1950,2050,0.45,7.4475
2000,2100,0.43,8.940000000000001
2050,2150,0.48,11.0175
2100,2200,0.48,12.65
2150,2250,0.4,14.012500000000001
2200,2300,0.41,15.057500000000001
2250,2350,0.44,15.71
2300,2400,0.43,15.602500000000001
2350,2450,0.38,14.885
2400,2500,0.39,14.1475
2450,2550,0.41,13.0425
2500,2600,0.4,11.425
2550,2650,0.43,9.475
2600,2700,0.43,7.154999999999999
2650,2750,0.47,5.1525
2700,2800,0.49,3.955
2750,2850,0.45,3.6625000000000005
2800,2900,0.4,4.155
2850,2950,0.41,4.7625
2900,3000,0.47,5.195
2950,3050,0.54,5.07
3000,3100,0.49,4.887499999999999
3050,3150,0.45,5.407500000000001
3100,3200,0.49,5.4725
3150,3250,0.48,4.8525
3200,3300,0.47,4.6
3250,3350,0.49,4.98
3300,3400,0.46,5.3725000000000005
3350,3450,0.41,5.215
3400,3500,0.46,4.895
3450,3550,0.45,4.97
3500,3600,0.43,5.140000000000001
3550,3650,0.47,5.205
3600,3700,0.43,5.6625000000000005
3650,3750,0.42,5.825
3700,3800,0.44,5.6674999999999995
3750,3850,0.41,5.505000000000001
3800,3900,0.4,5.41
3850,3950,0.4,5.4625
3900,4000,0.4,5.1575
3950,4050,0.4,4.84
4000,4100,0.42,4.9
4050,4150,0.45,5.085
4100,4200,0.44,5.09
4150,4250,0.44,4.67
4200,4300,0.45,4.0125
4250,4350,0.43,3.8425
4300,4400,0.46,3.7225
4350,4450,0.46,3.09
4400,4500,0.43,2.6225
4450,4550,0.45,2.975
4500,4600,0.46,3.5875
4550,4650,0.44,3.8075
4600,4700,0.46,3.91
4650,4750,0.48,4.16
4700,4800,0.48,4.5649999999999995
4750,4850,0.53,4.8775
4800,4900,0.48,5.165
4850,4950,0.48,5.1475
4900,5000,0.5,5.03
4950,5050,0.41,5.15
5000,5100,0.39,5.1875
5050,5150,0.44,4.865
5100,5200,0.46,4.11
5150,5250,0.48,3.3999999999999995
5200,5300,0.48,2.8449999999999998
5250,5350,0.47,2.19
